Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
23-9-2025 8:15:54.837	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-9-2025 14:25:18.831	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-9-2025 12:16:29.114	1	Normal	Goed	Huidige Data	Valid	None
17-9-2025 12:15:59.914	2	Normal	Goed	Huidige Data	Valid	None
17-9-2025 12:15:18.914	4	Normal	Goed	Huidige Data	Valid	None
17-9-2025 12:15:16.264	3	Normal	Goed	Huidige Data	Valid	None
10-9-2025 14:25:18.748	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-9-2025 11:40:55.175	1	Normal	Goed	Huidige Data	Valid	None
10-9-2025 11:14:34.625	5	Normal	Goed	Huidige Data	Valid	None
10-9-2025 11:12:35.425	4	Normal	Goed	Huidige Data	Valid	None
10-9-2025 11:12:31.925	3	Normal	Goed	Huidige Data	Valid	None
10-9-2025 11:09:47.775	1	Normal	Goed	Huidige Data	Valid	None
10-9-2025 10:38:29.075	5	Normal	Goed	Huidige Data	Valid	None
9-9-2025 14:25:19.083	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-9-2025 11:10:59.762	1	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:34:44.212	5	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:32:44.512	4	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:32:44.112	3	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:31:54.212	1	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:31:39.312	3	Normal	Goed	Huidige Data	Valid	None
13-8-2025 7:44:24.174	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-8-2025 7:28:20.788	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-7-2025 7:02:07.627	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-7-2025 6:47:14.653	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2025 16:53:43.114	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2025 14:51:39.319	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-6-2025 14:25:18.900	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-6-2025 9:06:35.455	1	Normal	Goed	Huidige Data	Valid	None
5-6-2025 9:06:21.605	5	Normal	Goed	Huidige Data	Valid	None
5-6-2025 9:06:10.306	2	Normal	Goed	Huidige Data	Valid	None
5-6-2025 9:04:22.205	4	Normal	Goed	Huidige Data	Valid	None
5-6-2025 9:04:18.405	3	Normal	Goed	Huidige Data	Valid	None
5-6-2025 6:57:12.355	5	Normal	Goed	Huidige Data	Valid	None
28-5-2025 7:27:46.431	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-5-2025 7:14:14.592	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-5-2025 14:25:18.641	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-5-2025 10:39:12.953	1	Normal	Goed	Huidige Data	Valid	None
20-5-2025 9:14:33.503	5	Normal	Goed	Huidige Data	Valid	None
20-5-2025 9:12:33.903	4	Normal	Goed	Huidige Data	Valid	None
20-5-2025 9:12:25.253	3	Normal	Goed	Huidige Data	Valid	None
31-3-2025 9:22:36.154	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
31-3-2025 9:08:52.918	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-2-2025 22:12:54.352	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-2-2025 18:55:52.031	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
8-1-2025 1:25:19.084	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-1-2025 21:03:21.344	1	Normal	Goed	Huidige Data	Valid	None
7-1-2025 13:25:18.931	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-1-2025 9:06:09.474	2	Normal	Goed	Huidige Data	Valid	None
7-1-2025 8:58:38.574	1	Normal	Goed	Huidige Data	Valid	None
7-1-2025 1:25:19.479	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-1-2025 22:25:51.342	2	Normal	Goed	Huidige Data	Valid	None
16-12-2024 8:49:42.303	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-12-2024 8:35:13.684	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-12-2024 1:25:18.992	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 13:45:05.253	1	Normal	Goed	Huidige Data	Valid	None
6-12-2024 13:25:18.942	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 11:45:07.353	2	Normal	Goed	Huidige Data	Valid	None
6-12-2024 9:37:48.853	1	Normal	Goed	Huidige Data	Valid	None
6-12-2024 5:43:04.353	2	Normal	Goed	Huidige Data	Valid	None
6-11-2024 1:25:19.593	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-11-2024 14:19:54.236	1	Normal	Goed	Huidige Data	Valid	None
5-11-2024 14:00:22.186	5	Normal	Goed	Huidige Data	Valid	None
5-11-2024 13:58:22.136	4	Normal	Goed	Huidige Data	Valid	None
5-11-2024 13:58:20.036	3	Normal	Goed	Huidige Data	Valid	None
21-10-2024 9:12:23.221	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-10-2024 8:56:43.521	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-10-2024 14:25:18.674	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-10-2024 13:40:50.778	1	Normal	Goed	Huidige Data	Valid	None
15-10-2024 13:35:28.727	5	Normal	Goed	Huidige Data	Valid	None
15-10-2024 13:33:29.477	4	Normal	Goed	Huidige Data	Valid	None
15-10-2024 13:33:25.927	3	Normal	Goed	Huidige Data	Valid	None
10-10-2024 2:25:18.851	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-10-2024 15:12:16.639	1	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:11:43.539	5	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:09:41.739	4	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:09:38.589	3	Normal	Goed	Huidige Data	Valid	None
24-9-2024 14:25:18.729	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-9-2024 10:25:08.013	1	Normal	Goed	Huidige Data	Valid	None
24-9-2024 8:40:51.813	3	Normal	Goed	Huidige Data	Valid	None
5-9-2024 7:37:07.656	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-9-2024 7:22:41.943	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-7-2024 7:41:11.405	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-7-2024 7:29:20.496	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-7-2024 2:25:18.721	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-7-2024 15:20:23.440	1	Normal	Goed	Huidige Data	Valid	None
2-7-2024 14:25:19.133	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2024 9:50:21.896	5	Normal	Goed	Huidige Data	Valid	None
18-6-2024 18:33:24.426	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 14:46:30.845	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 14:23:32.998	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-6-2024 11:38:46.545	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-6-2024 11:24:25.230	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-6-2024 15:07:24.004	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-6-2024 13:30:32.035	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-5-2024 16:34:09.212	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-5-2024 10:22:02.486	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-5-2024 10:01:52.500	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-5-2024 2:25:19.081	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-5-2024 15:06:57.869	1	Normal	Goed	Huidige Data	Valid	None
