Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
6-1-2025 13:25:13.702	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-1-2025 3:49:23.371	2	Normal	Goed	Huidige Data	Valid	None
27-12-2024 1:25:13.953	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2024 22:52:05.360	1	Normal	Goed	Huidige Data	Valid	None
26-12-2024 13:57:35.421	5	Normal	Goed	Huidige Data	Valid	None
26-12-2024 13:38:24.771	1	Normal	Goed	Huidige Data	Valid	None
26-12-2024 13:25:13.888	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2024 12:27:14.571	2	Normal	Goed	Huidige Data	Valid	None
20-12-2024 1:25:14.103	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
19-12-2024 13:53:41.959	1	Normal	Goed	Huidige Data	Valid	None
19-12-2024 13:53:40.709	3	Normal	Goed	Huidige Data	Valid	None
19-12-2024 13:51:53.709	4	Normal	Goed	Huidige Data	Valid	None
19-12-2024 13:51:51.759	3	Normal	Goed	Huidige Data	Valid	None
16-12-2024 8:49:37.288	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-12-2024 8:35:08.684	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-12-2024 1:25:13.992	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 17:05:04.459	1	Normal	Goed	Huidige Data	Valid	None
6-12-2024 13:25:13.926	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 11:30:07.453	2	Normal	Goed	Huidige Data	Valid	None
6-12-2024 9:37:48.454	1	Normal	Goed	Huidige Data	Valid	None
6-12-2024 1:25:14.090	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 1:11:18.821	2	Normal	Goed	Huidige Data	Valid	None
15-11-2024 1:25:13.937	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
14-11-2024 15:59:19.949	1	Normal	Goed	Huidige Data	Valid	None
14-11-2024 15:49:57.749	2	Normal	Goed	Huidige Data	Valid	None
6-11-2024 1:25:13.687	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-11-2024 14:19:21.286	1	Normal	Goed	Huidige Data	Valid	None
5-11-2024 13:41:23.186	5	Normal	Goed	Huidige Data	Valid	None
5-11-2024 13:39:23.136	4	Normal	Goed	Huidige Data	Valid	None
5-11-2024 13:39:20.536	3	Normal	Goed	Huidige Data	Valid	None
31-10-2024 13:25:13.760	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
31-10-2024 7:13:47.135	1	Normal	Goed	Huidige Data	Valid	None
30-10-2024 1:25:13.948	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-10-2024 13:26:31.592	5	Normal	Goed	Huidige Data	Valid	None
29-10-2024 13:25:13.713	4	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-10-2024 13:24:32.442	4	Normal	Goed	Huidige Data	Valid	None
29-10-2024 13:24:28.992	3	Normal	Goed	Huidige Data	Valid	None
21-10-2024 9:12:18.221	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-10-2024 8:56:38.505	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-10-2024 2:25:13.861	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-10-2024 14:54:00.627	1	Normal	Goed	Huidige Data	Valid	None
15-10-2024 14:37:37.277	2	Normal	Goed	Huidige Data	Valid	None
15-10-2024 14:25:13.674	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-10-2024 13:33:25.377	1	Normal	Goed	Huidige Data	Valid	None
15-10-2024 13:33:23.977	3	Normal	Goed	Huidige Data	Valid	None
15-10-2024 2:25:14.113	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
14-10-2024 19:12:36.839	1	Normal	Goed	Huidige Data	Valid	None
14-10-2024 18:08:29.689	2	Normal	Goed	Huidige Data	Valid	None
14-10-2024 14:25:14.052	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
14-10-2024 12:19:31.593	1	Normal	Goed	Huidige Data	Valid	None
14-10-2024 11:16:00.493	2	Normal	Goed	Huidige Data	Valid	None
14-10-2024 5:30:58.593	1	Normal	Goed	Huidige Data	Valid	None
14-10-2024 4:26:49.904	2	Normal	Goed	Huidige Data	Valid	None
14-10-2024 2:25:14.154	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-10-2024 22:44:45.597	1	Normal	Goed	Huidige Data	Valid	None
13-10-2024 21:40:26.547	2	Normal	Goed	Huidige Data	Valid	None
13-10-2024 16:01:22.752	1	Normal	Goed	Huidige Data	Valid	None
13-10-2024 14:57:27.502	2	Normal	Goed	Huidige Data	Valid	None
13-10-2024 14:25:13.814	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-10-2024 9:19:19.652	1	Normal	Goed	Huidige Data	Valid	None
13-10-2024 8:15:27.502	2	Normal	Goed	Huidige Data	Valid	None
13-10-2024 2:25:13.689	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-10-2024 2:21:55.622	1	Normal	Goed	Huidige Data	Valid	None
13-10-2024 1:17:48.672	2	Normal	Goed	Huidige Data	Valid	None
12-10-2024 17:13:50.528	1	Normal	Goed	Huidige Data	Valid	None
12-10-2024 16:54:52.528	5	Normal	Goed	Huidige Data	Valid	None
12-10-2024 16:37:09.778	1	Normal	Goed	Huidige Data	Valid	None
12-10-2024 15:34:42.039	2	Normal	Goed	Huidige Data	Valid	None
12-10-2024 14:25:14.916	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
12-10-2024 6:55:02.689	1	Normal	Goed	Huidige Data	Valid	None
12-10-2024 6:21:41.689	5	Normal	Goed	Huidige Data	Valid	None
12-10-2024 6:03:55.039	1	Normal	Goed	Huidige Data	Valid	None
12-10-2024 5:01:26.839	2	Normal	Goed	Huidige Data	Valid	None
10-10-2024 2:25:13.835	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-10-2024 15:12:06.489	1	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:08:12.539	5	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:06:13.339	4	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:06:10.489	3	Normal	Goed	Huidige Data	Valid	None
24-9-2024 14:25:13.729	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-9-2024 10:25:08.563	1	Normal	Goed	Huidige Data	Valid	None
24-9-2024 8:40:51.813	3	Normal	Goed	Huidige Data	Valid	None
5-9-2024 7:37:02.639	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-9-2024 7:22:36.927	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-8-2024 2:25:13.902	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
