Time;Waarde;Status;Kwaliteit;Reason;Status.1;Suppression Type
2024-05-16 15:06:58.019;3;Normal;Goed;Huidige Data;Valid;
2024-05-16 14:25:02.379;2;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-05-16 06:46:55.019;2;Normal;Goed;Huidige Data;Valid;
2024-04-29 09:56:32.971;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-04-29 09:45:40.831;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-04-09 14:25:02.101;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-04-09 13:14:34.966;3;Normal;Goed;Huidige Data;Valid;
2024-04-09 12:00:13.916;2;Normal;Goed;Huidige Data;Valid;
2024-03-30 01:25:02.169;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-03-29 13:26:34.010;3;Normal;Goed;Huidige Data;Valid;
2024-03-29 13:26:33.860;2;Normal;Goed;Huidige Data;Valid;
2024-03-29 13:26:32.710;3;Normal;Goed;Huidige Data;Valid;
2024-03-29 13:26:10.960;2;Normal;Goed;Huidige Data;Valid;
2024-03-12 01:25:02.058;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-03-11 18:11:17.959;3;Normal;Goed;Huidige Data;Valid;
2024-03-11 18:11:17.909;3;Normal;Goed;Huidige Data;Valid;
2024-02-21 07:35:31.163;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-02-21 07:22:26.551;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-02-10 13:25:02.124;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-02-10 09:01:12.767;3;Normal;Goed;Huidige Data;Valid;
2024-02-10 09:01:12.616;2;Normal;Goed;Huidige Data;Valid;
2024-02-10 09:00:26.910;0;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-02-10 08:54:42.366;0;Normal;Goed;Huidige Data;Valid;
2024-02-10 08:54:42.316;0;Normal;Goed;Huidige Data;Valid;
2024-01-27 16:48:29.598;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-01-24 13:25:02.037;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-01-24 10:38:24.650;3;Normal;Goed;Huidige Data;Valid;
2024-01-15 11:27:18.746;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
