Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
14-10-2025 14:25:08.048	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
14-10-2025 13:28:54.758	1	Normal	Goed	Huidige Data	Valid	None
14-10-2025 13:18:08.608	2	Normal	Goed	Huidige Data	Valid	None
23-9-2025 8:15:44.196	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-9-2025 14:25:08.139	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-9-2025 11:09:47.775	1	Normal	Goed	Huidige Data	Valid	None
10-9-2025 10:38:23.625	5	Normal	Goed	Huidige Data	Valid	None
9-9-2025 14:25:08.474	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-9-2025 10:39:25.412	1	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:22:39.212	5	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:20:39.112	4	Normal	Goed	Huidige Data	Valid	None
9-9-2025 10:20:36.512	3	Normal	Goed	Huidige Data	Valid	None
9-9-2025 9:30:46.062	1	Normal	Goed	Huidige Data	Valid	None
9-9-2025 9:04:33.212	5	Normal	Goed	Huidige Data	Valid	None
9-9-2025 9:02:33.712	4	Normal	Goed	Huidige Data	Valid	None
9-9-2025 9:02:29.512	3	Normal	Goed	Huidige Data	Valid	None
13-8-2025 7:44:13.571	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-8-2025 7:28:10.194	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-8-2025 14:25:08.462	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-8-2025 9:31:23.506	1	Normal	Goed	Huidige Data	Valid	None
7-8-2025 9:20:00.906	5	Normal	Goed	Huidige Data	Valid	None
31-7-2025 2:25:09.083	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-7-2025 16:20:26.009	1	Normal	Goed	Huidige Data	Valid	None
30-7-2025 14:25:08.227	5	Normal	Goed	Huidige Data	Valid; Time Substituted	None
30-7-2025 13:36:20.509	5	Normal	Goed	Huidige Data	Valid	None
7-7-2025 7:01:57.017	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-7-2025 6:47:04.044	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2025 16:53:32.521	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2025 14:51:28.709	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-5-2025 7:27:35.837	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-5-2025 7:14:03.993	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-5-2025 14:25:08.048	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-5-2025 10:39:12.953	1	Normal	Goed	Huidige Data	Valid	None
20-5-2025 8:42:18.503	5	Normal	Goed	Huidige Data	Valid	None
20-5-2025 8:40:18.853	4	Normal	Goed	Huidige Data	Valid	None
20-5-2025 8:40:08.203	3	Normal	Goed	Huidige Data	Valid	None
20-5-2025 7:49:21.753	1	Normal	Goed	Huidige Data	Valid	None
20-5-2025 7:49:18.953	2	Normal	Goed	Huidige Data	Valid	None
20-5-2025 7:49:10.003	4	Normal	Goed	Huidige Data	Valid	None
20-5-2025 7:49:03.753	3	Normal	Goed	Huidige Data	Valid	None
31-3-2025 9:22:25.545	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
31-3-2025 9:08:42.309	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-2-2025 22:12:43.742	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-2-2025 18:55:42.547	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
3-2-2025 13:25:08.021	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
3-2-2025 10:22:28.883	1	Normal	Goed	Huidige Data	Valid	None
3-2-2025 7:58:30.783	2	Normal	Goed	Huidige Data	Valid	None
3-2-2025 5:32:22.883	1	Normal	Goed	Huidige Data	Valid	None
3-2-2025 3:06:06.763	2	Normal	Goed	Huidige Data	Valid	None
3-2-2025 1:25:08.012	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
3-2-2025 0:47:25.713	1	Normal	Goed	Huidige Data	Valid	None
2-2-2025 22:15:39.813	2	Normal	Goed	Huidige Data	Valid	None
2-2-2025 19:58:17.586	1	Normal	Goed	Huidige Data	Valid	None
2-2-2025 17:17:16.586	2	Normal	Goed	Huidige Data	Valid	None
2-2-2025 15:03:56.655	1	Normal	Goed	Huidige Data	Valid	None
2-2-2025 13:25:08.532	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-2-2025 12:18:46.555	2	Normal	Goed	Huidige Data	Valid	None
2-2-2025 10:00:35.605	1	Normal	Goed	Huidige Data	Valid	None
2-2-2025 7:13:19.555	2	Normal	Goed	Huidige Data	Valid	None
2-2-2025 4:58:44.705	1	Normal	Goed	Huidige Data	Valid	None
2-2-2025 2:07:12.725	2	Normal	Goed	Huidige Data	Valid	None
2-2-2025 1:25:08.508	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
1-2-2025 23:53:43.875	1	Normal	Goed	Huidige Data	Valid	None
1-2-2025 20:59:00.671	2	Normal	Goed	Huidige Data	Valid	None
1-2-2025 18:44:13.721	1	Normal	Goed	Huidige Data	Valid	None
1-2-2025 15:48:57.671	2	Normal	Goed	Huidige Data	Valid	None
1-2-2025 13:34:47.417	1	Normal	Goed	Huidige Data	Valid	None
1-2-2025 13:25:08.234	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
1-2-2025 10:48:55.367	2	Normal	Goed	Huidige Data	Valid	None
1-2-2025 8:40:20.317	1	Normal	Goed	Huidige Data	Valid	None
1-2-2025 5:36:10.367	2	Normal	Goed	Huidige Data	Valid	None
1-2-2025 3:28:24.252	1	Normal	Goed	Huidige Data	Valid	None
