Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
5-11-2024 14:19:21.436	3	Normal	Goed	Huidige Data	Valid	None
5-11-2024 13:58:18.836	2	Normal	Goed	Huidige Data	Valid	None
23-10-2024 14:25:02.378	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
23-10-2024 9:36:00.119	3	Normal	Goed	Huidige Data	Valid	None
23-10-2024 8:23:54.719	1	Normal	Goed	Huidige Data	Valid	None
23-10-2024 2:25:02.446	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
22-10-2024 16:00:49.420	3	Normal	Goed	Huidige Data	Valid	None
22-10-2024 14:34:12.720	1	Normal	Goed	Huidige Data	Valid	None
21-10-2024 9:12:06.627	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-10-2024 8:56:26.899	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-10-2024 2:25:02.246	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-10-2024 15:12:06.739	3	Normal	Goed	Huidige Data	Valid	None
9-10-2024 15:09:37.189	2	Normal	Goed	Huidige Data	Valid	None
8-10-2024 14:25:02.400	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
8-10-2024 9:20:53.198	3	Normal	Goed	Huidige Data	Valid	None
8-10-2024 7:31:06.898	1	Normal	Goed	Huidige Data	Valid	None
2-10-2024 14:25:02.069	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-10-2024 11:05:02.065	3	Normal	Goed	Huidige Data	Valid	None
2-10-2024 7:42:55.365	1	Normal	Goed	Huidige Data	Valid	None
24-9-2024 14:25:02.119	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
24-9-2024 10:25:08.063	3	Normal	Goed	Huidige Data	Valid	None
24-9-2024 8:35:38.913	2	Normal	Goed	Huidige Data	Valid	None
5-9-2024 7:36:51.038	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
5-9-2024 7:22:25.334	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-7-2024 7:40:54.020	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-7-2024 7:29:03.896	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 18:33:07.832	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 14:46:14.235	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
18-6-2024 14:23:16.373	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-6-2024 11:38:29.945	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-6-2024 11:24:09.845	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-6-2024 15:07:07.395	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-6-2024 13:30:15.426	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-5-2024 16:33:35.618	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-5-2024 10:21:43.142	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
21-5-2024 10:01:31.690	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
17-5-2024 2:25:02.479	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-5-2024 15:06:58.019	3	Normal	Goed	Huidige Data	Valid	None
16-5-2024 14:25:02.379	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-5-2024 6:46:55.019	2	Normal	Goed	Huidige Data	Valid	None
29-4-2024 9:56:32.971	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
29-4-2024 9:45:40.831	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-4-2024 14:25:02.101	3	Normal	Goed	Huidige Data	Valid; Time Substituted	None
